Title: The Pan-STARRS1 distant z > 5.6 Quasar survey: more 
       than 100 quasars within the first Gyr of the Universe 
Authors: Banados E., Venemans B.P., Decarli R., Farina E.P., Mazzucchelli C., 
         Walter F., Fan X., Stern D., Schlafly E., Chambers K.C., Rix H.-W., 
         Jiang L., McGreer I., Simcoe R., Wang F., Yang J., Morganson E., 
         De Rosa G., Greiner J., Balokovic M., Burgett W.S., Cooper T., 
         Draper P.W., Flewelling H., Hodapp K.W., Jun H.D., Kaiser N., 
         Kudritzki R.-P., Magnier E.A., Metcalfe N., Miller D., Schindler J., 
         Tonry J.L., Wainscoat R.J., Waters C., Yang Q. 
Table: PS1 distant quasar sample arithmetic median composite spectra
================================================================================
Byte-by-byte Description of file: datafile6.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  6 F6.1   0.1nm   Wave         Wavelength in Angstroms
   8- 27 F20.18 --      FluxD        Flux density PS1 composite spectrum
  29- 31 I3     --      N            Number of quasars per wavelength bin
  33- 55 F23.20 --      FluxD(hlya)  Flux density strong lya composite spectrum
  57- 78 F22.19 --      FluxD(llya)  Flux density weak lya composite spectrum
--------------------------------------------------------------------------------
1000.0 0.030651911763269604 74  0.020233934758379844    0.03787602212996195    
1000.5 0.0406944386597449   74  0.03856230211897019     0.07525928864884499    
1001.0 0.05210515257992514  74  0.03597856975888662     0.13882837547691035    
1001.5 0.04562595104006195  74  0.011418413422657342    0.14511451344308685    
1002.0 0.05464470717544648  74  0.016535932088552602    0.2208670335303686     
1002.5 0.07788934901850676  74  0.00734944664898684     0.14514119526621       
1003.0 0.04168382719809337  74  -0.02650649640107554    0.08342191426876581    
1003.5 0.03868888021173991  73  0.09422113041996934     0.06531292632224402    
1004.0 0.0527840385460976   73  0.1444070221425245      0.0751030546387387     
1004.5 0.03187262800065683  74  0.028010213152648292    0.07110550335449947    
1005.0 0.03111640308903378  74  0.018785751352312044    0.08836752497411848    
1005.5 0.04224959658003915  74  0.1321423250510017      0.04602722249378368    
1006.0 0.05249431530165065  74  0.03894303064228902     0.08865416561082379    
1006.5 0.0372572534545546   74  0.007756618413595549    0.09194053200981708    
1007.0 0.04516082716550236  74  0.004623826595277608    0.06640686477016572    
1007.5 0.0525203553649698   74  0.0340575652214163      0.009109078183949485   
1008.0 0.03645924059747813  74  0.21729782487158333     0.02101655042841407    
1008.5 0.034625997995219274 74  -0.006736237939909646   -0.0011041116426619615 
1009.0 0.04649970343073871  74  0.013000295620083003    0.03965214704147224    
1009.5 0.07361247525282931  74  0.12426596144046113     0.00915030533866162    
1010.0 0.0727163598671639   74  0.05220042646192872     0.04397633963587189    
1010.5 0.07983923237916152  74  0.1041599880734225      0.08223186783601599    
1011.0 0.06852312178520682  74  0.21668966619397917     0.022008641626110114   
1011.5 0.06368441289391771  74  0.07185224176205218     0.03794718059716949    
1012.0 0.07911093645492084  75  0.061152096646533635    0.05528746810241732    
1012.5 0.04981691930585795  75  0.07244753054598571     0.03209075782050248    
1013.0 0.06430545801959199  75  0.06942258434621326     -0.02290720383420287   
1013.5 0.07570835326090805  75  0.0920365619700895      0.07752973502324566    
1014.0 0.03559360705069536  75  0.20814137526891224     0.08038605564044725    
1014.5 0.0549312316320552   75  0.001570520704711524    0.08972062135144457    
1015.0 0.06399705308760156  75  0.03671843778820369     0.06575023257446355    
1015.5 0.0655494549169632   77  0.003598902532361274    0.07875676038497964    
1016.0 0.06725691105911427  76  0.016088704309745724    0.09086770795431673    
1016.5 0.1095860823494558   78  0.049062824031582714    0.05977688798022836    
1017.0 0.10490459968717318  79  0.06954806339899797     0.054949828623124586   
1017.5 0.11744507061284057  79  0.1101772039454875      0.08509854328531392    
1018.0 0.08966588622947977  79  0.09528043286848124     0.12666306445620767    
1018.5 0.13125875946084445  79  0.2711050486823928      0.08812892300397547    
1019.0 0.09419617011724789  79  0.07145296124919268     0.07185618131220003    
1019.5 0.1361445438129888   79  0.19622575216063948     0.14532238222116228    
1020.0 0.13321614330551082  79  0.11902205825047976     0.15404601740944185    
1020.5 0.15335357399195146  79  0.1472394252971162      0.11396560759671029    
1021.0 0.16821260781775088  79  0.17348989713296953     0.1496639114314019     
1021.5 0.15908532079939094  79  0.09850844020526507     0.10385196909304886    
1022.0 0.2041458595089263   79  0.10380755530389801     0.08739299682554039    
1022.5 0.12154843964403603  80  0.1472052953209973      0.15546997144317742    
1023.0 0.10532313228519964  81  0.21079211626910846     0.10295742562815988    
1023.5 0.16048164984652175  82  0.11874982912675695     0.11649771950494597    
1024.0 0.10569208379734316  82  0.0698675565291387      0.131455586160692      
1024.5 0.12808462521393293  82  0.3202418946063921      0.18952022116719788    
1025.0 0.13293582638153256  82  0.4169248120199519      0.13808813621364713    
1025.5 0.19306791786681038  85  0.22299260092075207     0.08026893008384167    
1026.0 0.18919377898522324  85  0.07234858033683714     0.06369087027910476    
1026.5 0.19145311784799002  85  0.1923133976579393      0.09369833958595787    
1027.0 0.21936148950324136  86  0.11922057254897789     0.13409688923239932    
1027.5 0.18620178946150343  87  0.22825797091329023     0.061262438423646454   
1028.0 0.205303443001456    87  0.4762326343627805      0.11135488504851727    
1028.5 0.2120151653790266   87  0.3259390041973098      0.14958415280557655    
1029.0 0.21200066810291407  87  0.322649305775511       0.07665095456413559    
1029.5 0.26049385730848823  87  0.347772335503963       0.06731432676518       
1030.0 0.214345204114313    88  0.14788339086642077     0.112902791461407      
1030.5 0.28992163439018215  88  0.5087726355639748      0.097620940749794      
1031.0 0.24130787525663006  88  0.1977584800703852      0.15326184139255766    
1031.5 0.17037639449394598  89  0.09473889115658227     0.21330087167832695    
1032.0 0.1917783749655354   90  0.13638825850011266     0.12799729186105763    
1032.5 0.21385979413970507  90  0.160480522985761       0.2510315814842216     
1033.0 0.2639988233498939   90  0.40106483642801716     0.26311978381150325    
1033.5 0.2142683952432598   90  0.30211666996142783     0.2743078899835669     
1034.0 0.21872814572634303  90  0.2742082189658025      0.158278029556642      
1034.5 0.21414017001665958  90  0.3583577694393932      0.15172433638232544    
1035.0 0.19234406283907596  90  0.28814814384591797     0.25196282381474977    
1035.5 0.20042510860630275  90  0.3089277711951604      0.22130978659570935    
1036.0 0.19564060100856667  91  0.40824313616554375     0.17145074581408049    
1036.5 0.2190223041749772   91  0.2479362502995307      0.14114563603333236    
1037.0 0.16953722272758665  91  0.17779270557728816     0.34692114188725204    
1037.5 0.14471184476826363  91  0.18659999585004688     0.29246083077205315    
1038.0 0.13719232103529544  91  0.022079626172778203    0.2502221128095193     
1038.5 0.11383832760379581  91  0.061664980444840506    0.2521089802284453     
1039.0 0.16329328712734836  92  0.2159772766726223      0.11279021470163958    
1039.5 0.25122313538434476  92  0.3029294004216785      0.17045187461632938    
1040.0 0.14611033132593554  92  0.04655521728449828     0.12235445839447776    
1040.5 0.1714446752349366   92  0.1567915918294637      0.11064765418829392    
1041.0 0.17448338444343214  93  0.27452665254683334     0.2990743233306016     
1041.5 0.1628821703079074   93  0.07994399239952532     0.30249255726297675    
1042.0 0.1733134300815242   94  0.06511760031123723     0.1816513444457315     
1042.5 0.1608822357461867   94  0.27451130138639235     0.15926589803008656    
1043.0 0.18738710226754318  94  0.1797151264145051      0.22655115242909785    
1043.5 0.2118740813250231   96  0.19443052247286896     0.24921015926712453    
1044.0 0.18860302512339816  96  0.21371381074383194     0.2206735840875666     
1044.5 0.17391455103224407  96  0.11866113133759908     0.21519369439266883    
1045.0 0.17866416517906877  96  0.11089731771071826     0.293252021598665      
1045.5 0.21375815569538564  97  0.007903127755504346    0.27027380767907416    
1046.0 0.1613206572532726   98  0.06784521407431587     0.12057554019008196    
1046.5 0.1779765969213205   100 0.09180450691564133     0.18676435855290202    
1047.0 0.17535070431847105  100 0.07124410417285389     0.1517134918755781     
1047.5 0.15751008121141802  100 0.15341563595662205     0.20272179297717358    
